event,horizon,impl,mean_return,mae_mean,composite_rank
AR,5,kapman_v0_chatgpt_wyckoff_core,2.04411772609312,-5.144678919227886,1.5
AR,10,kapman_v0_chatgpt_wyckoff_core,4.8445029583600325,-6.80080211329665,1.5
AR,20,kapman_v0_chatgpt_wyckoff_core,8.869313115119592,-8.46635228476907,1.5
AR,40,kapman_v0_claude,15.848516106564007,-10.735252523206755,1.0
BC,5,kapman_v0_handwritten_structural,2.474738086030833,8.458156721335511,2.0
BC,10,baseline_vsa,-5.736568355543289,9.809671286684498,1.5
BC,20,baseline_vsa,-11.834129694099635,12.85061005979097,1.5
BC,40,baseline_vsa,-24.929818252010524,12.85061005979097,1.5
SOS,5,baseline_vsa,1.836314563182342,-6.468576085464689,2.0
SOS,10,baseline_vsa,5.026316600577082,-8.532734635238459,1.5
SOS,20,baseline_vsa,9.445398428863385,-11.592691762007235,2.0
SOS,40,baseline_vsa,17.873348654800537,-11.592691762007235,1.5
SOW,5,kapman_v0_handwritten_structural,-2.5541267754520587,4.267137394823725,1.0
SOW,10,kapman_v0_handwritten_structural,-4.090851235723651,4.958086690273173,1.0
SOW,20,kapman_v0_handwritten_structural,-9.017933456054788,5.54001153143919,1.0
SOW,40,kapman_v0_handwritten_structural,-10.856303462824396,5.54001153143919,1.0
SPRING,5,kapman_v0_handwritten_structural,9.488823951782903,-1.928429731951202,1.5
SPRING,10,kapman_v0_handwritten_structural,9.638713459303615,-3.364489251828082,1.5
SPRING,20,kapman_v0_handwritten_structural,10.333511165996715,-4.922280518571426,1.5
SPRING,40,kapman_v0_handwritten_structural,23.74741120818329,-4.922280518571426,1.5
