event,direction,role,horizon,impl,mean_return,mae_mean,signal_count,composite_rank
AR,UP,ENTRY,5,kapman_v0_chatgpt_wyckoff_core,2.04411772609312,-5.144678919227886,242,1.5
AR,UP,ENTRY,10,kapman_v0_chatgpt_wyckoff_core,4.8445029583600325,-6.80080211329665,242,1.5
AR,UP,ENTRY,20,kapman_v0_chatgpt_wyckoff_core,8.869313115119592,-8.46635228476907,242,1.5
AR,UP,ENTRY,40,kapman_v0_claude,15.848516106564007,-10.735252523206755,2398,1.0
BC,DOWN,ENTRY,5,kapman_v0_handwritten_structural,2.474738086030833,8.458156721335511,88,2.0
BC,DOWN,ENTRY,10,baseline_vsa,-5.736568355543289,9.809671286684498,981,1.5
BC,DOWN,ENTRY,20,baseline_vsa,-11.834129694099635,12.85061005979097,981,1.5
BC,DOWN,ENTRY,40,baseline_vsa,-24.929818252010524,12.85061005979097,981,1.5
SOS,UP,ENTRY,5,baseline_vsa,1.836314563182342,-6.468576085464689,4450,2.0
SOS,UP,ENTRY,10,baseline_vsa,5.026316600577082,-8.532734635238459,4450,1.5
SOS,UP,ENTRY,20,baseline_vsa,9.445398428863385,-11.592691762007235,4450,2.0
SOS,UP,ENTRY,40,baseline_vsa,17.873348654800537,-11.592691762007235,4450,1.5
SOW,DOWN,ENTRY,5,kapman_v0_handwritten_structural,-2.5541267754520587,4.267137394823725,35,1.0
SOW,DOWN,ENTRY,10,kapman_v0_handwritten_structural,-4.090851235723651,4.958086690273173,35,1.0
SOW,DOWN,ENTRY,20,kapman_v0_handwritten_structural,-9.017933456054788,5.54001153143919,35,1.0
SOW,DOWN,ENTRY,40,kapman_v0_handwritten_structural,-10.856303462824396,5.54001153143919,35,1.0
SPRING,UP,ENTRY,5,kapman_v0_handwritten_structural,9.488823951782903,-1.928429731951202,30,1.5
SPRING,UP,ENTRY,10,kapman_v0_handwritten_structural,9.638713459303615,-3.364489251828082,30,1.5
SPRING,UP,ENTRY,20,kapman_v0_handwritten_structural,10.333511165996715,-4.922280518571426,30,1.5
SPRING,UP,ENTRY,40,kapman_v0_handwritten_structural,23.74741120818329,-4.922280518571426,30,1.5
