impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index,experiment_id
kapman_v0_handwritten_structural,AAPL,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 1.110068973212031}}",AR,NA,IGNORE,2025-04-11,324,exp_qualified_ar_v1
kapman_v0_handwritten_structural,AI,2025-08-13,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-13', 'idx': 408, 'label': 'AR', 'score': 1.3441453725992727}}",AR,NA,IGNORE,2025-08-13,408,exp_qualified_ar_v1
kapman_v0_handwritten_structural,ANET,2024-08-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-06', 'idx': 153, 'label': 'AR', 'score': 0.8158085984622924}}",AR,NA,IGNORE,2024-08-06,153,exp_qualified_ar_v1
kapman_v0_handwritten_structural,BBAI,2024-08-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-21', 'idx': 164, 'label': 'AR', 'score': 4.545167483639983}}",AR,NA,IGNORE,2024-08-21,164,exp_qualified_ar_v1
kapman_v0_handwritten_structural,CEG,2024-06-18,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-18', 'idx': 120, 'label': 'AR', 'score': 1.0499615071629522}}",AR,NA,IGNORE,2024-06-18,120,exp_qualified_ar_v1
kapman_v0_handwritten_structural,CRM,2024-06-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-03', 'idx': 109, 'label': 'AR', 'score': 1.4099493284793911}}",AR,NA,IGNORE,2024-06-03,109,exp_qualified_ar_v1
kapman_v0_handwritten_structural,DOMO,2025-04-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-07', 'idx': 320, 'label': 'AR', 'score': 1.5806404860869872}}",AR,NA,IGNORE,2025-04-07,320,exp_qualified_ar_v1
kapman_v0_handwritten_structural,DXCM,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 4.053892667794761}}",AR,NA,IGNORE,2025-04-09,322,exp_qualified_ar_v1
kapman_v0_handwritten_structural,FN,2025-04-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-07', 'idx': 320, 'label': 'AR', 'score': 2.607639899536833}}",AR,NA,IGNORE,2025-04-07,320,exp_qualified_ar_v1
kapman_v0_handwritten_structural,GEV,2025-11-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-11-07', 'idx': 403, 'label': 'AR', 'score': 1.095062817915393}}",AR,NA,IGNORE,2025-11-07,403,exp_qualified_ar_v1
kapman_v0_handwritten_structural,HON,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 0.6855598972283882}}",AR,NA,IGNORE,2025-04-11,324,exp_qualified_ar_v1
kapman_v0_handwritten_structural,LEU,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 1.842309323057113}}",AR,NA,IGNORE,2025-04-09,322,exp_qualified_ar_v1
kapman_v0_handwritten_structural,META,2025-11-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-11-07', 'idx': 469, 'label': 'AR', 'score': 0.717039641168817}}",AR,NA,IGNORE,2025-11-07,469,exp_qualified_ar_v1
kapman_v0_handwritten_structural,NICE,2025-02-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-02-21', 'idx': 289, 'label': 'AR', 'score': 1.169516761921249}}",AR,NA,IGNORE,2025-02-21,289,exp_qualified_ar_v1
kapman_v0_handwritten_structural,NXE,2025-08-29,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-29', 'idx': 420, 'label': 'AR', 'score': 3.244665120738962}}",AR,NA,IGNORE,2025-08-29,420,exp_qualified_ar_v1
kapman_v0_handwritten_structural,ORCL,2024-03-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-12', 'idx': 52, 'label': 'AR', 'score': 3.5862238827216393}}",AR,NA,IGNORE,2024-03-12,52,exp_qualified_ar_v1
kapman_v0_handwritten_structural,PANW,2024-02-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-27', 'idx': 42, 'label': 'AR', 'score': 2.170318322737539}}",AR,NA,IGNORE,2024-02-27,42,exp_qualified_ar_v1
kapman_v0_handwritten_structural,PEGA,2025-10-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-22', 'idx': 457, 'label': 'AR', 'score': 4.2826903993783025}}",AR,NA,IGNORE,2025-10-22,457,exp_qualified_ar_v1
kapman_v0_handwritten_structural,PLTR,2024-08-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-06', 'idx': 153, 'label': 'AR', 'score': 1.1043860482957901}}",AR,NA,IGNORE,2024-08-06,153,exp_qualified_ar_v1
kapman_v0_handwritten_structural,PODD,2024-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-12', 'idx': 157, 'label': 'AR', 'score': 0.9598747517999743}}",AR,NA,IGNORE,2024-08-12,157,exp_qualified_ar_v1
kapman_v0_handwritten_structural,RELX,2024-08-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-07', 'idx': 154, 'label': 'AR', 'score': 1.013165031986245}}",AR,NA,IGNORE,2024-08-07,154,exp_qualified_ar_v1
kapman_v0_handwritten_structural,ROK,2025-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-12', 'idx': 407, 'label': 'AR', 'score': 1.2534782373716693}}",AR,NA,IGNORE,2025-08-12,407,exp_qualified_ar_v1
kapman_v0_handwritten_structural,STRL,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 4.5702157402680665}}",AR,NA,IGNORE,2025-04-09,322,exp_qualified_ar_v1
kapman_v0_handwritten_structural,TDC,2025-08-13,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-13', 'idx': 408, 'label': 'AR', 'score': 0.9126123357075022}}",AR,NA,IGNORE,2025-08-13,408,exp_qualified_ar_v1
kapman_v0_handwritten_structural,TDY,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 3.551545049144576}}",AR,NA,IGNORE,2025-04-09,322,exp_qualified_ar_v1
kapman_v0_handwritten_structural,TRI,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 1.0013667260250745}}",AR,NA,IGNORE,2025-04-11,324,exp_qualified_ar_v1
kapman_v0_handwritten_structural,UEC,2024-12-05,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-05', 'idx': 238, 'label': 'AR', 'score': 0.931326853157414}}",AR,NA,IGNORE,2024-12-05,238,exp_qualified_ar_v1
kapman_v0_handwritten_structural,WDAY,2025-09-17,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-17', 'idx': 432, 'label': 'AR', 'score': 1.0688542863392712}}",AR,NA,IGNORE,2025-09-17,432,exp_qualified_ar_v1
kapman_v0_handwritten_structural,ZM,2024-02-28,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-28', 'idx': 43, 'label': 'AR', 'score': 2.0093185561587403}}",AR,NA,IGNORE,2024-02-28,43,exp_qualified_ar_v1
kapman_v0_handwritten_structural,ZS,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 3.758279413554999}}",AR,NA,IGNORE,2025-04-09,322,exp_qualified_ar_v1
