impl,event,symbols_processed,bars_evaluated,candidates_found,signals_emitted
kapman_v0_handwritten_structural,SC,20,10000,,0
kapman_v0_handwritten_structural,AR,20,10000,,0
kapman_v0_handwritten_structural,ST,20,10000,,0
kapman_v0_handwritten_structural,SPRING,20,10000,,0
kapman_v0_handwritten_structural,TEST,20,10000,,0
kapman_v0_handwritten_structural,SOS,20,10000,,0
kapman_v0_handwritten_structural,BC,20,10000,,0
kapman_v0_handwritten_structural,SOW,20,10000,,0
kapman_v0_claude,SC,20,10000,,0
kapman_v0_claude,AR,20,10000,,0
kapman_v0_claude,ST,20,10000,,0
kapman_v0_claude,SPRING,20,10000,,0
kapman_v0_claude,TEST,20,10000,,0
kapman_v0_claude,SOS,20,10000,,0
kapman_v0_claude,BC,20,10000,,0
kapman_v0_claude,SOW,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,SC,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,AR,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,ST,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,SPRING,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,TEST,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,SOS,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,BC,20,10000,,0
kapman_v0_chatgpt_wyckoff_core,SOW,20,10000,,0
baseline_vsa,SC,20,10000,,0
baseline_vsa,AR,20,10000,,0
baseline_vsa,ST,20,10000,,0
baseline_vsa,SPRING,20,10000,,0
baseline_vsa,TEST,20,10000,,0
baseline_vsa,SOS,20,10000,,0
baseline_vsa,BC,20,10000,,0
baseline_vsa,SOW,20,10000,,0
baseline_tv_heuristic,SC,20,10000,,0
baseline_tv_heuristic,AR,20,10000,,0
baseline_tv_heuristic,ST,20,10000,,0
baseline_tv_heuristic,SPRING,20,10000,,0
baseline_tv_heuristic,TEST,20,10000,,0
baseline_tv_heuristic,SOS,20,10000,,0
baseline_tv_heuristic,BC,20,10000,,0
baseline_tv_heuristic,SOW,20,10000,,0
baseline_hybrid_rules,SC,20,10000,,0
baseline_hybrid_rules,AR,20,10000,,0
baseline_hybrid_rules,ST,20,10000,,0
baseline_hybrid_rules,SPRING,20,10000,,0
baseline_hybrid_rules,TEST,20,10000,,0
baseline_hybrid_rules,SOS,20,10000,,0
baseline_hybrid_rules,BC,20,10000,,0
baseline_hybrid_rules,SOW,20,10000,,0
